ticker,name,sector
AAPL,Apple Inc.,Information Technology
MSFT,Microsoft Corporation,Information Technology
GOOGL,Alphabet Inc. Class A,Communication Services
AMZN,Amazon.com Inc.,Consumer Discretionary
META,Meta Platforms Inc.,Communication Services
NVDA,NVIDIA Corporation,Information Technology
TSLA,Tesla Inc.,Consumer Discretionary
JPM,JPMorgan Chase & Co.,Financials
V,Visa Inc.,Financials
JNJ,Johnson & Johnson,Health Care
WMT,Walmart Inc.,Consumer Staples
XOM,Exxon Mobil Corporation,Energy
PG,Procter & Gamble Co.,Consumer Staples
MA,Mastercard Inc.,Financials
HD,Home Depot Inc.,Consumer Discretionary
CVX,Chevron Corporation,Energy
KO,Coca-Cola Company,Consumer Staples
PEP,PepsiCo Inc.,Consumer Staples
ABBV,AbbVie Inc.,Health Care
COST,Costco Wholesale Corp.,Consumer Staples
